review_id	sentiment	label_id	input_ids	review_body	date
1234	1	2	[0, 13963, 787, 12105, 1216, 32, 5, 251, 12, 1279, 7398, 10184, 9, 484, 3440, 4050, 198, 5, 232, 4, 849, 41108, 849, 12829, 849, 28310, 219, 849, 12406, 154, 849, 506, 1243, 1174, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	RT @user These are the long-term valuations of several asset classes around the world. #stocks #markets #economy #investing #fina…	2022-09-24T02:50:14Z
4069	0	1	[0, 243, 2653, 203, 423, 87, 302, 662, 4, 1801, 30, 619, 38, 1017, 224, 307, 1390, 4, 497, 513, 4, 1437, 50118, 50118, 970, 18, 10, 7297, 778, 38, 437, 202, 10, 410, 4736, 31, 94, 186, 4, 38, 437, 164, 7, 185, 10, 16159, 4, 2780, 18, 45, 33, 10, 7230, 9, 94, 186, 18, 1331, 12, 1529, 30425, 298, 3141, 4, 50118, 50118, 6175, 2889, 4, 68, 4186, 1000, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"It feels much later than Monday morning. Just by feel I'd say Wednesday afternoon. At least. 

There's a decent chance I'm still a little sick from last week. I'm going to take a nap. Let's not have a repeat of last week's sell-off monkeyshines.

TYIA. $SPX"	2022-09-24T02:50:14Z
701	1	2	[0, 1629, 4186, 1000, 68, 4186, 975, 16911, 4044, 62, 8103, 15113, 7471, 406, 73, 996, 21947, 486, 2162, 15, 273, 6908, 582, 4, 1578, 1826, 10, 1181, 7000, 486, 2504, 6, 905, 18, 15061, 24, 8103, 10470, 3602, 2054, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	$SPX $SPY Nice gap up 🚀7/15 320 call bought on Friday gonna pay. Also holding a longer dated call spread, let's rip it 🤑 http	2022-09-24T02:50:14Z
4093	0	1	[0, 20160, 504, 212, 344, 17415, 15, 874, 5966, 35, 50118, 50118, 1629, 4186, 1000, 83, 3732, 68, 155, 36350, 50118, 1629, 1000, 3850, 7606, 1815, 21474, 783, 359, 19377, 131, 195, 21, 540, 87, 195, 207, 50118, 50118, 30214, 11352, 5, 4084, 4764, 12, 40095, 7, 5, 22, 523, 5110, 113, 50118, 50118, 1629, 1000, 3850, 6518, 14653, 45994, 68, 1000, 3850, 22, 863, 17415, 113, 14653, 17487, 45994, 68, 1000, 3850, 8103, 18164, 862, 14653, 116, 2054, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"Feb 18th Jaws on below chart:

$SPX ATH $ 3392
$XLE % stocks Momentum &gt; 5 was less than 5%

huge beneath the surface wealth-transfer to the ""elites""

$XLE Bull trap == $XLE ""Jaws"" trap ? == $XLE 🦃 trap? http"	2022-09-24T02:50:14Z
1144	-1	0	[0, 10431, 4239, 40132, 26367, 29, 1525, 1776, 19700, 6, 8261, 26308, 2741, 4575, 3727, 32408, 18153, 4, 3412, 226, 18575, 13391, 374, 4300, 7737, 849, 5320, 6368, 849, 27814, 3760, 68, 12380, 29150, 50118, 50118, 13082, 640, 90, 4, 876, 73, 574, 3540, 329, 134, 605, 13963, 387, 530, 2054, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"#Starbucks Warns Of Big Loss, Sharply Scales Back Expansion Plans. Stock Loses Ground On Key Support #Stocks #Retail $SBUX

https://t.co/Loez1wRTBK http"	2022-09-24T02:50:14Z
338	1	2	[0, 13963, 787, 12105, 68, 4186, 975, 2935, 4, 22645, 1295, 5, 380, 517, 62, 4, 39067, 176, 364, 3275, 40, 28, 762, 4, 3769, 11465, 306, 239, 18102, 42810, 50118, 50118, 565, 35, 68, 510, 15102, 68, 1301, 448, 7014, 257, 1174, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"RT @user $SPY update. Consolidating the big move up. Reaction2 eps will be key. Patience4 high probability setups

T: $PINS $ZM locku…"	2022-09-24T02:50:14Z
2895	0	1	[0, 13963, 787, 12105, 849, 725, 4526, 34200, 849, 4771, 7870, 849, 4328, 8423, 68, 4186, 1000, 849, 4186, 1000, 849, 1723, 1215, 597, 68, 1723, 68, 1723, 1215, 597, 68, 4186, 975, 68, 495, 4581, 849, 495, 4581, 68, 500, 6972, 849, 3134, 1000, 849, 597, 2685, 717, 68, 487, 1864, 849, 487, 1864, 68, 31341, 1343, 68, 487, 281, 5946, 68, 597, 9298, 849, 597, 1097, 50118, 50118, 597, 1001, 1174, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"RT @user #Harmonics #Charts #trading $SPX #SPX #ES_F $ES $ES_F $SPY $DOW #DOW $RUT #DAX #FTSE $NQ #NQ $qqq $Nasdaq $FANG #Fang

Fro…"	2022-09-24T02:50:14Z
1031	-1	0	[0, 246, 34277, 7555, 34689, 312, 6368, 11, 807, 140, 18, 2848, 18429, 787, 12105, 849, 41108, 68, 534, 27391, 68, 8756, 2054, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	3 Surprisingly Controversial Stocks in Donald Trump's Portfolio @user #stocks $GILD $MO http	2022-09-24T02:50:14Z
1423	0	1	[0, 26355, 974, 36, 36444, 3326, 38096, 43, 50118, 50118, 1629, 4182, 1178, 155, 21403, 443, 1437, 50118, 8304, 42, 186, 11, 155, 22960, 443, 7, 155, 27127, 4, 245, 4, 50118, 50118, 1629, 1001, 8644, 68, 36028, 2579, 2233, 1108, 4518, 42, 186, 4, 50118, 1629, 424, 30083, 2579, 517, 6, 68, 6621, 2911, 68, 4339, 2543, 2999, 7314, 94, 155, 360, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"Week 27 (Fri AM Recap)

$spx 3155 area 
box this week in 3124 area to 3182.5.

$roku $fb nice box breakouts this week.
$amzn nice move, $aapl $msft pull backs last 3 days"	2022-09-24T02:50:14Z
1621	0	1	[0, 13963, 787, 12105, 1754, 642, 20529, 35, 1437, 50118, 50118, 1185, 197, 393, 3568, 1754, 510, 20529, 15, 2280, 13, 143, 1219, 1437, 50118, 11094, 318, 47, 655, 236, 7, 120, 10, 6174, 1437, 50118, 11094, 114, 47, 15330, 1174, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"RT @user Airpods: 

You should never wear AirPods on camera for any reason 
Or If you ever want to get a promotion 
Or if you eve…"	2022-09-24T02:50:14Z
